        Layer (type)               Output Shape         Param #
       LeakyReLU-366         [-1, 32, 128, 128]               0
          Conv2d-367         [-1, 32, 128, 128]          36,896
       LeakyReLU-368         [-1, 32, 128, 128]               0
          Conv2d-369         [-1, 32, 128, 128]          46,112
       LeakyReLU-370         [-1, 32, 128, 128]               0
          Conv2d-371         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-372         [-1, 64, 128, 128]               0
            RRDB-373         [-1, 64, 128, 128]               0
          Conv2d-374         [-1, 32, 128, 128]          18,464
       LeakyReLU-375         [-1, 32, 128, 128]               0
          Conv2d-376         [-1, 32, 128, 128]          27,680
       LeakyReLU-377         [-1, 32, 128, 128]               0
          Conv2d-378         [-1, 32, 128, 128]          36,896
       LeakyReLU-379         [-1, 32, 128, 128]               0
          Conv2d-380         [-1, 32, 128, 128]          46,112
       LeakyReLU-381         [-1, 32, 128, 128]               0
          Conv2d-382         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-383         [-1, 64, 128, 128]               0
          Conv2d-384         [-1, 32, 128, 128]          18,464
       LeakyReLU-385         [-1, 32, 128, 128]               0
          Conv2d-386         [-1, 32, 128, 128]          27,680
       LeakyReLU-387         [-1, 32, 128, 128]               0
          Conv2d-388         [-1, 32, 128, 128]          36,896
       LeakyReLU-389         [-1, 32, 128, 128]               0
          Conv2d-390         [-1, 32, 128, 128]          46,112
       LeakyReLU-391         [-1, 32, 128, 128]               0
          Conv2d-392         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-393         [-1, 64, 128, 128]               0
          Conv2d-394         [-1, 32, 128, 128]          18,464
       LeakyReLU-395         [-1, 32, 128, 128]               0
          Conv2d-396         [-1, 32, 128, 128]          27,680
       LeakyReLU-397         [-1, 32, 128, 128]               0
          Conv2d-398         [-1, 32, 128, 128]          36,896
       LeakyReLU-399         [-1, 32, 128, 128]               0
          Conv2d-400         [-1, 32, 128, 128]          46,112
       LeakyReLU-401         [-1, 32, 128, 128]               0
          Conv2d-402         [-1, 64, 128, 128]         110,656
